Nominative,Genitive,Gender,Declension,EnglishMeanings
mūla,mūlae,f,I,mule (f.)
multitūdō,multitūdinis,f,III,"crowd, great number"
mūlus,mūlī,m,II,mule (m.)
mūnitiō,mūnitiōnis,f,III,"munition, act of fortifying"
mūrus,mūrī,m,II,wall
mūs,mūris,u,III,mouse
mūsculus,mūsculī,m,II,"muscle, little mouse"
mūsica,mūsicae,f,I,"music, musician (f.)"
mūsicus,mūsicī,u,II,musician (m.)
narrātiō,narrātiōnis,f,III,"narration, act of telling or relating"
narrātor,narrātōris,u,III,"narrator, storyteller"
nāsus,nāsī,m,II,nose
natātiō,natātiōnis,f,III,act of swimming
natātor,natātōris,u,III,swimmer
nātūra,nātūrae,f,I,nature
nātus,nātūs,m,IV,birth
nauta,nautae,u,I,sailor
nāvigātiō,nāvigātiōnis,f,III,"navigation, act of sailing"
nāvigātor,nāvigātōris,u,III,"navigator, sailor"
nāvis,nāvis,f,III-i,"ship, boat"
negātiō,negātiōnis,f,III,"negation, act of denying"
negātor,negātōris,u,III,denier
negōtium,negōtiī,n,II,"business, lack of leisure"
nepōs,nepōtis,u,III,"grandchild, nephew, niece"
nigrēdō,nigrēdinis,f,III,blackness
nix,nivis,f,III,snow
nōmen,nōminis,n,III,"name, clan name"
nōminātiō,nōminātiōnis,f,III,"nomination, act of naming"
nōminātor,nōminātōris,u,III,"nominator, one who names"
nōnae,nōnārum,f,I,"Nones, 5th or 7th of a month"
novātiō,novātiōnis,f,III,act of making new
nōx,noctis,f,III-i,night
nūmen,nūminis,n,III,"nod of the head, divine spirit"
numerātiō,numerātiōnis,f,III,act of counting
numerātor,numerātōris,u,III,one who counts
numerus,numerī,m,II,number
nūntia,nūntiae,f,I,messenger (f.)
nūntiātiō,nūntiātiōnis,f,III,"announcement, act of announcing"
nūntiātor,nūntiātōris,u,III,announcer
nūntius,nūntiī,m,II,messenger (m.)
nux,nucis,f,III,nut
oblītiō,oblītiōnis,f,III,act of forgetting
oblīvium,oblīviī,n,II,forgetfulness
obscūritās,obscūritātis,f,III,"obscurity, darkness"
occāsiō,occāsiōnis,f,III,"occasion, act of falling or happening"
occidēns,occidentis,m,III-i,"west, toward the setting sun"
occupātiō,occupātiōnis,f,III,"occupation, act of seizing"
oceānus,oceānī,m,II,ocean
oculus,oculī,m,II,eye
olīva,olīvae,f,I,"olive, olive tree"
ōmen,ōminis,n,III,"omen, foretelling, providence"
onus,oneris,n,III,"burden, responsibility"
opifex,opificis,u,III,"worker, craftsperson"
oppidum,oppidī,n,II,"town, walled municipality"
opus,operis,n,III,"work, completed work, task"
ōrātiō,ōrātiōnis,f,III,"oration, act of paying"
ōrātor,ōrātōris,u,III,"orator, pleader, one who prays"
ōrdinātiō,ōrdinātiōnis,f,III,"ordination, act of placing in order"
ōrdinātor,ōrdinātōris,u,III,one who places in order
ōrdō,ōrdinis,m,III,"order, rank"
oriēns,orientis,m,III-i,"east, toward the rising sun"
ōs,ōris,n,III,mouth
ōsculum,ōsculī,n,II,kiss
ōtium,ōtiī,n,II,"leisure, laziness"
ovis,ovis,f,III-i,"sheep, ewe"
ovum,ovī,n,II,egg
pānis,pānis,m,III-i,bread
parātiō,parātiōnis,f,III,act of preparing
pārs,partis,f,III-i,"part, direction"
partītiō,partītiōnis,f,III,"partition, act of dividing"
parvitās,parvitātis,f,III,smallness
passer,passeris,u,III,sparrow
passus,passús,m,IV,"pace, two steps"
pastor,pastōris,u,III,shepherd
pater,patris,m,III,father
patientia,patientiae,f,I,"patience, suffering, enduring"
